Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,omen,65%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,yoru,60%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,sova,60%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,neon,55%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,viper,55%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,waylay,40%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,astra,35%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,fade,30%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,killjoy,15%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,cypher,15%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,tejo,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,skye,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,phoenix,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,raze,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,harbor,10%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,kayo,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,jett,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,chamber,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,vyse,5%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,breach,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,deadlock,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,gekko,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,sage,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,iso,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,clove,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,veto,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,brimstone,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,miks,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,omen,83%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,yoru,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,sova,0%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,neon,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,viper,100%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,waylay,50%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,astra,17%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,fade,67%
